CNPJ_FUNDO,nomeAbreviado,retorno_ytd,annualized_return,cumulative_returns,idade,annualized_sharpe,n_cotistas,classe,txa_adm_%aa,patrimonio,retorno_2020,retorno_1_mes,retorno_3_meses,retorno_1_ano,treynor_cdi_1ano,treynor_ibov_1ano,treynor_snp_1ano,retorno_3_anos,treynor_cdi_3ano,treynor_ibov_3ano,treynor_snp_3ano,retorno_5_anos,treynor_cdi_5ano,treynor_ibov_5ano,treynor_snp_5ano,retorno_10_anos,treynor_cdi_10ano,treynor_ibov_10ano,treynor_snp_10ano,fundo_exclusivo,investidorQualificado,max_one_day_return
00.068.305/0001-35,FIC FI CAIXA EMPREENDER RF LP,0.0081313786486203,0.077499032314195,2.536831953620593,10.0,31.082896215922045,6909.0,Fundo de Renda Fixa,1.5,40344652.61,0.0125491572466476,0.0037123860713248,0.0068138550046286,0.0112700880194631,0.0691275919116517,5.081530863660771,115.81065062550402,0.0877548779456396,0.1653956201541859,84.82831632442945,593.8489933963945,0.2757241784286413,0.3928262698279344,342.9950503683448,-1954.3139484294247,0.9524216548333282,1.64030200234422,2340.8024636770624,-10716.70706583823,False,False,0.0013845210654432
00.071.477/0001-68,BB RF CURTO PRAZO AUTOMÁTICO EMPRESA FIC FI,0.0055298907008143,0.0522808187869671,1.371785875362153,27.0,29.215795537349628,292561.0,Fundo de Renda Fixa,1.75,33976975423.15,0.0048464397985559,0.0019627241137429,0.0044155706646151,0.0061332809630465,0.0248668191507634,-425.32553291360574,-468.8256592054132,0.0446195762260237,0.153237753420929,-2354.9424042591745,-431.3401208276502,0.170068437528684,0.2993095495483612,-10372.951665043383,-590.6605757358944,0.6077839666707379,1.2052333505601551,-14503.684846445956,-2444.475881181754,False,False,0.0005904376000016
00.073.041/0001-08,BB BESC RF PRÁTICO CP FI,0.0108129872950391,0.0955590230745252,3.672744122584933,9.0,5.140207214512085,918.0,Fundo de Renda Fixa,1.0,16881993.08,0.0191129372302487,0.0028693229567642,0.0068392993840542,0.0157424726473813,0.0592149169703821,180.1765960110764,155.57437764671883,0.1090736666223251,0.1929640665186012,-1208.2558770446176,-3009.942640722293,0.320462134506041,0.4491780377222898,-3421.035565170395,-1173.415482584437,1.1636543935147858,1.9015896417214124,-7819.648690610456,-5110.829962755121,False,False,0.0065050930710128
00.089.915/0001-15,AMARIL FRANKLIN FIC FIM,0.0060763860141599,0.070202039431655,2.1542682338101145,27.0,0.497046037794408,132.0,Fundo Multimercado,1.5,26834278.3,0.0249994449408055,0.0020082865254684,0.0043714489657096,0.0165745060119619,-0.0194191506586967,-29.968280346917894,-30.68402655288592,0.087521544213595,0.3064808580592159,42.3492721706788,184.4789007329317,0.2278314505535492,0.4169700083969258,90.19109468662737,-4048.689600866858,0.7357290695135361,1.589030592543589,520.4736667635802,-4501.758045885547,False,False,0.5642650373344313
00.180.995/0001-10,SAFRA EXECUTIVE MAX RF FIC FI,0.003858487040826,0.0972413526197057,3.8238986910297577,10.0,14.916569417392248,2144.0,Fundo de Renda Fixa,1.0,261601629.36,0.0260051455516225,0.0030151016402342,0.0057774172218867,0.0123990978062678,0.0205277971709581,1.250104242174382,7.339742107004756,0.1265547271194804,0.138800867914259,7.676371711796332,16.59154494641693,0.3459905403812868,0.4476534474565821,20.1558520489422,59.62976619692158,1.2219633144049915,2.0619590261309058,106.89266838444304,298.5319184933848,False,False,0.0039149236036428
00.185.259/0001-54,OPPORTUNITY LOGICA II FIC FIA,0.175554219913844,0.0998429262605606,2.814277431770708,26.0,0.4339045821965417,194.0,Fundo de Ações,3.9,430716207.09,0.0019689742747894,0.0419412405206109,0.094564654383197,0.3535020630795189,-0.0345486850875203,0.4533781815903261,0.9816974798184848,0.9533772001745556,0.227202180302167,1.0127925053317428,1.575888933719891,1.4068881441521055,-29.47213446063112,1.5060874458128748,2.690872696535833,0.5965846955725365,2.7788677655608063,0.7387394136492906,1.3550360550134406,False,False,0.1229930411173254
00.222.725/0001-24,SANTANDER RF CRESCIMENTO CENTRUM FIC FI,0.0084626926423396,0.0865328827410154,3.073384430647482,26.0,19.840052644067352,1390.0,Fundo de Renda Fixa,1.8,95243885.64,0.0148379422611661,0.0030048246430656,0.0067891933835664,0.0142526313764816,5.171159573295886,1.8106704312881072,10.407308777681743,0.0916618983481916,0.1538725765053944,7.547077980459115,15.722870191324397,0.2799799263743439,0.3923628962886769,24.0495939203876,61.47208332991826,0.981606375533192,1.714749818781372,145.94434072920802,377.2887650368996,False,False,0.003623896169185
00.222.816/0001-60,SAFRA EXECUTIVE FIC FI RF,0.0056865944615693,0.1000843844049593,4.036894892954731,10.0,16.486492822849083,4974.0,Fundo de Renda Fixa,0.5,3966599147.25,0.0316492601175979,0.0034767072096981,0.0071053309071327,0.0165257550862543,0.0227658524654538,1.5282133715543424,8.854562401970023,0.1440437682974411,0.1500152394883258,7.796055168674073,16.41866973379072,0.3798252623617408,0.4857698221347747,20.269214582802874,56.92407405025449,1.310352035631091,2.193228935953846,108.82483027636424,288.77867028688274,False,False,0.0042493960984313
00.280.302/0001-60,BRADESCO H FIC FI RF CP LP TIPO,0.0118290714023936,0.0984381251354513,3.901097415705741,10.0,24.839172166148064,3883.0,Fundo de Renda Fixa,0.5,591047549.34,0.020557169191117,0.0049782480292568,0.0091281119032566,0.019187660449468,0.0534416209291193,2.2492508044095576,18.58458228168353,0.1204264898112621,0.1856033424326565,12.035671797678514,25.23159570802675,0.3494521348282928,0.4675024427455136,38.90962401198898,98.12300205707034,1.2335154088829654,2.004766679884505,225.80326588801407,615.6913056075315,False,False,0.0025637494417709
00.306.278/0001-91,BRADESCO FIC FI RF REF DI,0.0147055223448671,0.0950167762236419,3.645712403218355,26.0,37.00533312491509,9572.0,Fundo de Renda Fixa,0.65,977392861.16,0.0153260901339706,0.0036142820304856,0.0087783560386744,0.0204002154374918,0.0695049143000728,-49.28381183875728,-23.47751259720825,0.1110163425806098,0.2119793183775606,-243.00105509998664,-120.31827896700706,0.3244273148026126,0.4612320250076638,-870.9816560633438,-336.36856285271466,1.1638166898139328,1.9247319122738589,-3897.616748662508,-1901.8915733599936,False,False,0.0010025772239679
