CNPJ_FUNDO,nomeAbreviado,kpi,annualized_return,retorno_1_ano,annualized_sharpe,classe,txa_adm_%aa,patrimonio,idade,retorno_3_anos,retorno_5_anos,retorno_10_anos
10.731.794/0001-17,FIC FI CAIXA SIGMA RF REF DI LP,7.24,0.0808632904452788,0.0190475132192819,37.337693043348736,Fundo de Renda Fixa,0.35,11406599786.95,12.0,0.1222024151082585,0.3441593350708958,1.1978134845674604
05.775.723/0001-86,BB RF CURTO PRAZO EMPRESA ÁGIL FIC FI,7.24,0.0815371536258797,0.018752887375063,42.6006630556422,Fundo de Renda Fixa,0.5,9926698717.54,14.0,0.1187243633033903,0.3352415457619273,1.1671798735100327
12.809.201/0001-13,SPX RAPTOR FEEDER IE FIQ DE FIM CP,7.2,0.1670575845804258,0.239384966450822,1.4824392145883774,Fundo Multimercado,0.7,2205184695.38,10.0,0.3171457829174435,1.211081448454678,4.537105080175545
02.201.163/0001-68,FIC FI CAIXA PERSONAL RF LP,7.2,0.0957602743712475,0.0210395849570184,33.18508847278159,Fundo de Renda Fixa,0.6,4400160162.33,23.0,0.1217972484334903,0.3436093808968992,1.1911591468889786
15.037.554/0001-30,BB RF LP PRIVATE FIC FI,7.19,0.0765704172526889,0.0267110541364952,31.154284197835377,Fundo de Renda Fixa,0.3,1060316247.24,9.0,0.1299702330633774,0.362567826590465,0.0
15.603.945/0001-75,VINCI SELECTION EQUITIES FIA,7.19,0.1335287048071672,0.1631483925400125,0.8394736291018958,Fundo de Ações,0.97,624658559.8,8.0,0.7668062155378572,1.399102418853917,0.0
04.311.271/0001-19,FATOR PORTFOLIO VERDE FIC FIM,7.19,0.1564222952702015,0.0883186790216348,1.896411410220432,Fundo Multimercado,0.05,52108495.01,17.0,0.2595751114697884,0.4878403693566966,2.321904258129224
18.956.729/0001-00,CTM HEDGE FIM LP,7.19,0.1039342571277139,0.1228410503374404,3.297900741011954,Fundo Multimercado,2.0,269646008.18,7.0,0.3810249621907544,0.7394882571900525,0.0
04.887.986/0001-14,UNIBANCO PB FMP-FGTS VALE DO RIO DOCE,7.18,0.2124457283862042,1.1222090214485867,0.5344804996615758,Fundo de FGTS,1.0,41552660.91,19.0,1.5820057042219182,6.620633942315813,2.199507404866826
06.170.687/0001-90,ITAÚ PERSONNALITÉ MULTIMERCADO MULTIESTRATÉGIA FIC FI,7.18,0.0898458277745483,0.0116540754196503,16.15871376293841,Fundo Multimercado,1.25,56788662.79,16.0,0.1279450396249257,0.3535657665221219,1.1676392177364074
